SWAN   1                                Swan standard spectral file, version
$   Data produced by SWAN version 41.51               
$   Project: Lecture         ;  run number: 01  
LOCATIONS                               locations in x-y-space
     1                                  number of locations
   778000.0000  4933000.0000
AFREQ                                   absolute frequencies in Hz
    51                                  number of frequencies
    0.0300
    0.0322
    0.0345
    0.0370
    0.0397
    0.0426
    0.0457
    0.0490
    0.0526
    0.0564
    0.0605
    0.0649
    0.0696
    0.0747
    0.0801
    0.0859
    0.0921
    0.0988
    0.1060
    0.1137
    0.1220
    0.1308
    0.1403
    0.1505
    0.1615
    0.1732
    0.1858
    0.1993
    0.2138
    0.2293
    0.2460
    0.2638
    0.2830
    0.3035
    0.3256
    0.3493
    0.3746
    0.4018
    0.4310
    0.4623
    0.4959
    0.5320
    0.5706
    0.6121
    0.6565
    0.7042
    0.7554
    0.8103
    0.8691
    0.9323
    1.0000
QUANT
     3                                  number of quantities in table
VaDens                                  variance densities in m2/Hz
m2/Hz                                   unit
   -0.9900E+02                          exception value
NDIR                                    average nautical direction in degr
degr                                    unit
   -0.9990E+03                          exception value
DSPRDEGR                                directional spreading                   
degr                                    unit
   -0.9000E+01                          exception value
LOCATION     1
  0.8962E-10  305.6    7.1
  0.9750E-10  305.6    7.0
  0.1005E-09  305.6    7.0
  0.1043E-09  305.6    7.0
  0.1148E-09  305.5    7.0
  0.1253E-09  305.4    9.6
  0.2257E-09  271.5   67.5
  0.6543E-08  154.5   34.4
  0.2132E-06  154.2   30.7
  0.3512E-05  154.4   30.5
  0.2737E-01  119.9   15.2
  0.1890E+00  119.9   15.2
  0.7473E+00  119.9   15.2
  0.1941E+01  119.9   15.2
  0.3726E+01  119.9   15.2
  0.6320E+01  119.9   15.2
  0.1259E+02  119.9   15.2
  0.2330E+02  119.9   15.2
  0.1810E+02  119.9   15.2
  0.9088E+01  119.9   15.2
  0.5620E+01  120.0   15.2
  0.4287E+01  120.0   15.2
  0.3339E+01  120.0   15.2
  0.2552E+01  120.0   15.3
  0.1921E+01  120.1   15.4
  0.1425E+01  120.2   15.5
  0.1043E+01  120.3   15.7
  0.7580E+00  120.4   15.9
  0.5513E+00  120.8   16.5
  0.4055E+00  121.8   18.2
  0.3137E+00  125.4   22.6
  0.2549E+00  131.5   27.5
  0.2058E+00  137.3   31.1
  0.1621E+00  141.3   32.8
  0.1340E+00  146.4   33.6
  0.1040E+00  148.2   33.8
  0.8229E-01  150.4   34.2
  0.6571E-01  151.7   33.9
  0.5142E-01  151.6   33.4
  0.4050E-01  151.6   33.5
  0.3179E-01  151.1   33.6
  0.2489E-01  150.3   33.8
  0.1930E-01  149.4   34.2
  0.1491E-01  148.4   34.7
  0.1142E-01  147.3   35.4
  0.8586E-02  146.5   36.3
  0.6437E-02  145.6   37.2
  0.4804E-02  144.7   38.3
  0.3508E-02  144.2   39.6
  0.2537E-02  143.8   40.7
  0.1824E-02  143.6   41.6
