%
%
% Run:01    Table:T1                SWAN version:41.51
%
%       Xp            Yp            Hsig          RTpeak        Botlev        PkDir         Tm01     
%       [m]           [m]           [m]           [sec]         [m]           [degr]        [sec]    
%
      778245.      4933370.      -9.00000       -9.0000      -99.0000      -999.000       -9.0000 
      778160.      4933363.      -9.00000       -9.0000      -99.0000      -999.000       -9.0000 
      778074.      4933356.      -9.00000       -9.0000       23.3732      -999.000       -9.0000 
      777989.      4933348.       3.54245       10.1181       23.2848       120.000        7.9072 
      777904.      4933342.       3.55573       10.1181       23.2298       120.000        7.7822 
      777819.      4933334.       3.56668       10.1181       23.1677       120.000        7.7034 
      777733.      4933327.       3.57597       10.1181       23.0816       120.000        7.6436 
      777648.      4933320.       3.58390       10.1181       22.9818       120.000        7.5934 
      777563.      4933312.       3.59061       10.1181       22.8809       120.000        7.5487 
      777478.      4933306.       3.59621       10.1181       22.7385       120.000        7.5093 
      777392.      4933298.       3.60156       10.1181       22.5974       120.000        7.4747 
      777307.      4933291.       3.60698       10.1181       22.4616       120.000        7.4440 
      777222.      4933284.       3.61259       10.1181       22.3275       120.000        7.4168 
      777137.      4933276.       3.61816       10.1181       22.2008       120.000        7.3925 
      777051.      4933270.       3.62332       10.1181       22.0821       120.000        7.3705 
      776966.      4933262.       3.62777       10.1181       21.9562       120.000        7.3504 
      776881.      4933255.       3.63186       10.1181       21.8248       120.000        7.3322 
      776796.      4933248.       3.63606       10.1181       21.7422       120.000        7.3159 
      776710.      4933241.       3.64046       10.1181       21.7124       120.000        7.3010 
      776625.      4933234.       3.64471       10.1181       21.7036       120.000        7.2875 
      776540.      4933226.       3.64842       10.1181       21.6698       120.000        7.2749 
      776454.      4933219.       3.65158       10.1181       21.5788       120.000        7.2635 
      776369.      4933212.       3.65483       10.1181       21.4423       120.000        7.2536 
      776284.      4933205.       3.65849       10.1181       21.3611       120.000        7.2450 
      776199.      4933198.       3.66200       10.1181       21.2950       120.000        7.2370 
      776113.      4933190.       3.66523       10.1181       21.1979       120.000        7.2298 
      776028.      4933184.       3.66769       10.1181       21.1004       120.000        7.2225 
      775943.      4933176.       3.66933       10.1181       20.9798       120.000        7.2152 
      775858.      4933169.       3.67064       10.1181       20.8208       120.000        7.2083 
      775772.      4933162.       3.67243       10.1181       20.6972       120.000        7.2023 
      775687.      4933154.       3.67464       10.1181       20.5735       120.000        7.1972 
      775602.      4933148.       3.67697       10.1181       20.4830       120.000        7.1925 
      775516.      4933140.       3.67899       10.1181       20.4484       120.000        7.1876 
      775431.      4933133.       3.68025       10.1181       20.4282       120.000        7.1823 
      775346.      4933126.       3.68061       10.1181       20.3682       120.000        7.1766 
      775261.      4933118.       3.68012       10.1181       20.2572       120.000        7.1707 
      775175.      4933112.       3.67870       10.1181       20.1675       120.000        7.1640 
      775090.      4933104.       3.67649       10.1181       20.0746       120.000        7.1567 
      775005.      4933097.       3.67389       10.1181       19.9686       120.000        7.1493 
      774920.      4933090.       3.67061       10.1181       19.8622       120.000        7.1415 
      774834.      4933083.       3.66738       10.1181       19.7075       120.000        7.1344 
      774749.      4933076.       3.66492       10.1181       19.5497       120.000        7.1284 
      774664.      4933068.       3.66347       10.1181       19.4528       120.000        7.1232 
      774579.      4933062.       3.66267       10.1181       19.3378       120.000        7.1192 
      774493.      4933054.       3.66204       10.1181       19.2418       120.000        7.1155 
      774408.      4933047.       3.66096       10.1181       19.1524       120.000        7.1117 
      774323.      4933040.       3.65965       10.1181       19.0735       120.000        7.1079 
      774238.      4933032.       3.65828       10.1181       19.0212       120.000        7.1040 
      774152.      4933026.       3.65695       10.1181       18.9612       120.000        7.1003 
      774067.      4933018.       3.65581       10.1181       18.8534       120.000        7.0974 
      773982.      4933011.       3.65519       10.1181       18.7540       120.000        7.0951 
      773896.      4933004.       3.65510       10.1181       18.6340       120.000        7.0939 
      773811.      4932996.       3.65523       10.1181       18.5071       120.000        7.0932 
      773726.      4932990.       3.65613       10.1181       18.3568       120.000        7.0937 
      773641.      4932982.       3.65754       10.1181       18.2233       120.000        7.0947 
      773555.      4932975.       3.65909       10.1181       18.1136       120.000        7.0959 
      773470.      4932968.       3.66052       10.1181       18.0041       120.000        7.0972 
      773385.      4932960.       3.66143       10.1181       17.9108       120.000        7.0981 
      773300.      4932954.       3.66100       10.1181       17.7851       120.000        7.0982 
      773214.      4932946.       3.66006       10.1181       17.6637       120.000        7.0978 
      773129.      4932939.       3.65874       10.1181       17.6102       120.000        7.0966 
      773044.      4932932.       3.65688       10.1181       17.5902       120.000        7.0944 
      772959.      4932925.       3.65447       10.1181       17.5604       120.000        7.0918 
      772873.      4932918.       3.65191       10.1181       17.5049       120.000        7.0892 
      772788.      4932910.       3.64997       10.1181       17.4208       120.000        7.0875 
      772703.      4932904.       3.64946       10.1181       17.2956       120.000        7.0876 
      772618.      4932896.       3.64962       10.1181       17.1831       120.000        7.0885 
      772532.      4932889.       3.65003       10.1181       17.0865       120.000        7.0896 
      772447.      4932882.       3.65042       10.1181       16.9978       120.000        7.0907 
      772362.      4932874.       3.65043       10.1181       16.9112       120.000        7.0915 
      772276.      4932868.       3.64967       10.1181       16.8188       120.000        7.0918 
      772191.      4932860.       3.64812       10.1181       16.6839       120.000        7.0917 
      772106.      4932853.       3.64636       10.1181       16.5644       120.000        7.0913 
      772021.      4932846.       3.64456       10.1181       16.4880       120.000        7.0904 
      771935.      4932838.       3.64257       10.1181       16.4360       120.000        7.0890 
      771850.      4932832.       3.64003       10.1181       16.4068       120.000        7.0869 
      771765.      4932824.       3.63705       10.1181       16.3708       120.000        7.0844 
      771680.      4932817.       3.63431       10.1181       16.2821       120.000        7.0827 
      771594.      4932810.       3.63233       10.1181       16.1808       120.000        7.0820 
      771509.      4932803.       3.63116       10.1181       16.0933       120.000        7.0821 
      771424.      4932796.       3.63030       10.1181       16.0058       120.000        7.0827 
      771339.      4932788.       3.62928       10.1181       15.9184       120.000        7.0833 
      771253.      4932781.       3.62771       10.1181       15.8321       110.000        7.0833 
      771168.      4932774.       3.62566       10.1181       15.7269       110.000        7.0832 
      771083.      4932767.       3.62348       10.1181       15.5796       110.000        7.0832 
      770998.      4932760.       3.62049       10.1181       15.4753       110.000        7.0819 
      770912.      4932752.       3.61718       10.1181       15.3827       110.000        7.0801 
      770827.      4932746.       3.61393       10.1181       15.2975       110.000        7.0782 
      770742.      4932738.       3.61026       10.1181       15.2349       110.000        7.0757 
      770656.      4932731.       3.60661       10.1181       15.1548       110.000        7.0734 
      770571.      4932724.       3.60321       10.1181       15.0764       110.000        7.0712 
      770486.      4932716.       3.59969       10.1181       15.0864       110.000        7.0678 
      770401.      4932710.       3.59705       10.1181       15.0544       110.000        7.0654 
      770315.      4932702.       3.59480       10.1181       15.0283       110.000        7.0633 
      770230.      4932695.       3.59318       10.1181       14.9585       110.000        7.0622 
      770145.      4932688.       3.59160       10.1181       14.8789       110.000        7.0615 
      770060.      4932680.       3.58987       10.1181       14.8071       110.000        7.0605 
      769974.      4932674.       3.58815       10.1181       14.7368       110.000        7.0596 
      769889.      4932666.       3.58678       10.1181       14.6553       110.000        7.0592 
      769804.      4932659.       3.58507       10.1181       14.6067       110.000        7.0584 
      769718.      4932652.       3.58333       10.1181       14.5606       110.000        7.0578 
      769633.      4932645.       3.58122       10.1181       14.5144       110.000        7.0572 
      769548.      4932638.       3.57967       10.1181       14.4205       110.000        7.0579 
      769463.      4932630.       3.57863       10.1181       14.3310       110.000        7.0591 
      769377.      4932624.       3.57758       10.1181       14.3065       110.000        7.0595 
      769292.      4932616.       3.57641       10.1181       14.3263       110.000        7.0591 
      769207.      4932609.       3.57524       10.1181       14.3172       110.000        7.0591 
      769122.      4932602.       3.57383       10.1181       14.2506       110.000        7.0598 
      769036.      4932594.       3.57204       10.1181       14.1434       110.000        7.0606 
      768951.      4932588.       3.56923       10.1181       14.0674       110.000        7.0598 
      768866.      4932580.       3.56562       10.1181       14.0204       110.000        7.0578 
      768781.      4932573.       3.56190       10.1181       13.9650       110.000        7.0557 
      768695.      4932566.       3.55851       10.1181       13.8918       110.000        7.0540 
